Frequency,Surprisingness_I,Surprisingness_II,II_Surprisingness_b, max_b_subpattern_num
12,1e+09,1e+09,1,0
12,1e+09,1e+09,1,0
9,1e+09,1e+09,1,0
25,1e+09,1e+09,1,0
7,1e+09,1e+09,1,0
5,2,1e+09,1,0
10,2,1e+09,1,0
5,2,1e+09,1,0
10,2,1e+09,1,0
10,2,1e+09,1,0
5,2,1e+09,1,0
5,2,1e+09,1,0
10,2,1e+09,1,0
5,2,1e+09,1,0
